"score","formatted","label","num_tweets"
6,65381,"Buccaneers",NA
7,65440,"Buccaneers",NA
10,65964,"Buccaneers",NA
10,66372,"Buccaneers",NA
10,66422,"Buccaneers",NA
16,69401,"Buccaneers",NA
17,69449,"Buccaneers",NA
17,70846,"Buccaneers",NA
23,71493,"Buccaneers",NA
24,71544,"Buccaneers",NA
24,72130,"Buccaneers",NA
24,72234,"Buccaneers",NA
0,65381,"Panthers",NA
0,65440,"Panthers",NA
0,65964,"Panthers",NA
6,66372,"Panthers",NA
7,66422,"Panthers",NA
7,69401,"Panthers",NA
7,69449,"Panthers",NA
10,70846,"Panthers",NA
10,71493,"Panthers",NA
10,71544,"Panthers",NA
16,72130,"Panthers",NA
17,72234,"Panthers",NA
NA,67438,"TWEETS",6
NA,68338,"TWEETS",11
NA,69238,"TWEETS",4
NA,70138,"TWEETS",5
NA,71038,"TWEETS",7
NA,71938,"TWEETS",9
NA,72838,"TWEETS",12
NA,73738,"TWEETS",7
NA,74638,"TWEETS",6
NA,75538,"TWEETS",9
NA,76438,"TWEETS",20
NA,77338,"TWEETS",8
